id,before_information,before_leaning,after_information,after_leaning,created_at,updated_at
1,56,60,74,72,2013-11-30 21:29:47.012596,2013-11-30 21:29:47.012596
2,70,70,97,99,2013-11-30 23:10:52.660075,2013-11-30 23:10:52.660075
3,87,88,65,93,2013-12-01 17:18:33.381262,2013-12-01 17:18:33.381262
4,87,88,65,93,2013-12-01 17:18:40.389555,2013-12-01 17:18:40.389555
5,,,,,2013-12-02 00:13:30.034687,2013-12-02 00:13:30.034687
6,,,,,2013-12-02 00:13:42.458769,2013-12-02 00:13:42.458769
7,70,28,100,7,2013-12-02 00:38:14.077609,2013-12-02 00:38:14.077609
8,70,28,100,7,2013-12-02 00:38:19.907873,2013-12-02 00:38:19.907873
9,61,100,100,100,2013-12-02 01:29:53.717871,2013-12-02 01:29:53.717871
10,0,70,0,40,2013-12-02 02:01:37.239754,2013-12-02 02:01:37.239754
11,55,65,72,76,2013-12-03 01:34:52.163035,2013-12-03 01:34:52.163035
12,52,58,55,68,2013-12-03 01:39:05.177347,2013-12-03 01:39:05.177347
13,55,58,73,81,2013-12-03 01:45:16.562458,2013-12-03 01:45:16.562458
14,57,61,75,75,2013-12-03 01:45:34.890309,2013-12-03 01:45:34.890309
15,0,,66,74,2013-12-03 02:08:30.174944,2013-12-03 02:08:30.174944
16,68,84,78,80,2013-12-03 04:36:26.513229,2013-12-03 04:36:26.513229
17,4,,70,79,2013-12-03 05:58:45.632014,2013-12-03 05:58:45.632014
18,28,39,58,87,2013-12-03 14:01:02.842249,2013-12-03 14:01:02.842249
19,64,21,76,7,2013-12-03 15:49:10.343703,2013-12-03 15:49:10.343703
20,98,0,100,0,2013-12-03 18:41:59.798283,2013-12-03 18:41:59.798283
21,53,57,67,66,2013-12-04 00:49:01.678303,2013-12-04 00:49:01.678303
22,0,,24,73,2013-12-04 05:01:14.80734,2013-12-04 05:01:14.80734
23,9,69,71,81,2013-12-04 05:15:58.384267,2013-12-04 05:15:58.384267
24,81,85,72,76,2013-12-04 05:24:00.952484,2013-12-04 05:24:00.952484
